          0	 9674.74512	
 1249.12668	 9675.87305	
 2498.25336	 9681.41699	
 3747.38003	 9703.45117	
 4996.50671	 9741.62598	
 6245.63339	 9774.48145	
 7494.76007	  9780.2627	
 8743.88674	 9775.86426	
 9993.01342	 9772.27539	
 11242.1401	 9798.43066	
 12491.2668	 9842.15625	
 13740.3935	 9859.57617	
 14989.5201	 9844.70117	
 16238.6468	  9836.8291	
 17487.7735	 9845.70508	
 18736.9002	 9871.80762	
 19986.0268	 9897.69043	
 21235.1535	 9907.20313	
 22484.2802	     9896.5	
 23733.4069	 9890.66992	
 24982.5336	 9895.54004	
 26231.6602	 9918.47461	
 27480.7869	 9935.59961	
 28729.9136	 9937.06934	
 29979.0403	 9930.01855	
 31228.1669	 9924.65234	
 32477.2936	 9929.75684	
 33726.4203	 9948.03711	
  34975.547	 9967.05762	
 36224.6737	 9969.43945	
 37473.8003	 9962.15234	
  38722.927	  9961.7832	
 39972.0537	 9964.03711	
 41221.1804	 9979.11816	
  42470.307	 9990.55176	
 43719.4337	 9991.00781	
 44968.5604	 9980.39844	
 46217.6871	 9972.66992	
 47466.8138	 9977.09473	
 48715.9404	 9999.63281	
 49965.0671	 10015.4893	
 51214.1938	 10016.5742	
 52463.3205	 10010.2588	
 53712.4471	 10001.9189	
 54961.5738	   10005.29	
 56210.7005	 10017.3828	
 57459.8272	 10023.2305	
 58708.9539	   10017.79	
 59958.0805	 10001.2832	
 61207.2072	 9987.23535	
 62456.3339	 9982.25684	
 63705.4606	 9995.67871	
 64954.5872	 9994.64551	
 66203.7139	 9987.27539	
 67452.8406	 9973.05176	
 68701.9673	  9964.1543	
  69951.094	 9964.79199	
 71200.2206	 9973.53809	
 72449.3473	 9972.22363	
  73698.474	 9967.51855	
 74947.6007	 9952.76172	
 76196.7273	 9936.34473	
  77445.854	 9938.35547	
 78694.9807	 9942.00098	
 79944.1074	 9948.97266	
 81193.2341	  9941.6416	
 82442.3607	 9919.93066	
 83691.4874	  9906.5791	
 84940.6141	 9909.50879	
 86189.7408	 9922.98535	
 87438.8674	 9928.36621	
 88687.9941	 9923.56738	
 89937.1208	 9911.80566	
 91186.2475	 9902.90234	
 92435.3742	 9906.08203	
 93684.5008	 9919.78418	
 94933.6275	 9927.03223	
 96182.7542	 9923.23145	
 97431.8809	  9911.6875	
 98681.0076	 9897.92676	
 99930.1342	 9894.91016	
 101179.261	 9901.11719	
 102428.388	 9902.14355	
 103677.514	 9891.16211	
 104926.641	 9872.96191	
 106175.768	 9857.15723	
 107424.894	 9855.28418	
 108674.021	 9865.45801	
 109923.148	 9871.69922	
 111172.274	 9866.72559	
 112421.401	 9856.84473	
 113670.528	 9848.05469	
 114919.654	 9852.78418	
 116168.781	 9867.77148	
 117417.908	 9873.79297	
 118667.034	 9864.55762	
 119916.161	 9847.31445	
 121165.288	 9828.07813	
 122414.414	 9821.07422	
 123663.541	 9824.90625	
 124912.668	  9825.8125	
 126161.794	 9816.82129	
 127410.921	 9802.20605	
 128660.048	 9791.12012	
 129909.174	 9791.38672	
 131158.301	 9801.98438	
 132407.428	 9809.26758	
 133656.555	  9805.9834	
 134905.681	 9794.80762	
 136154.808	 9782.24902	
 137403.935	 9780.33496	
 138653.061	  9786.7373	
 139902.188	 9789.68262	
 141151.315	 9780.11035	
 142400.441	 9762.49121	
 143649.568	 9744.74121	
 144898.695	 9740.33105	
 146147.821	 9744.78809	
 147396.948	 9748.16992	
 148646.075	 9741.87305	
 149895.201	 9730.80566	
 151144.328	 9717.93945	
 152393.455	 9710.60742	
 153642.581	 9720.04102	
 154891.708	  9719.4668	
 156140.835	 9712.64844	
 157389.961	 9705.81543	
 158639.088	 9687.80469	
 159888.215	 9691.61621	
 161137.341	 9689.15625	
 162386.468	 9696.72656	
 163635.595	 9685.39941	
 164884.721	 9675.60645	
 166133.848	 9662.19043	
 167382.975	 9659.51563	
 168632.102	 9665.60449	
 169881.228	 9670.78418	
 171130.355	 9666.38867	
 172379.482	 9653.81152	
 173628.608	 9642.86621	
 174877.735	 9641.29004	
 176126.862	 9647.90723	
 177375.988	 9651.52637	
 178625.115	 9644.13477	
 179874.242	 9628.63867	
 181123.368	 9614.72754	
 182372.495	 9610.19727	
 183621.622	 9614.82617	
 184870.748	 9617.80566	
 186119.875	 9608.17871	
 187369.002	 9594.20313	
 188618.128	  9582.2168	
 189867.255	 9580.91797	
 191116.382	 9588.73145	
 192365.508	 9594.49023	
 193614.635	 9593.90918	
 194863.762	 9582.85449	
 196112.888	 9566.38672	
 197362.015	 9557.86621	
 198611.142	 9558.92383	
 199860.268	 9560.70117	
 201109.395	 9547.67383	
 202358.522	 9530.10547	
 203607.648	 9513.68945	
 204856.775	  9506.5752	
 206105.902	 9510.67285	
 207355.029	 9512.77344	
 208604.155	 9506.26758	
 209853.282	 9491.95313	
 211102.409	 9475.74316	
 212351.535	 9464.10059	
 213600.662	  9463.9043	
 214849.789	 9463.98926	
 216098.915	 9456.07715	
 217348.042	 9444.12988	
 218597.169	  9432.1084	
 219846.295	 9427.89648	
 221095.422	 9436.21289	
 222344.549	 9446.37988	
 223593.675	 9441.47656	
 224842.802	 9420.16895	
 226091.929	 9402.89355	
 227341.055	 9396.36719	
 228590.182	  9395.9209	
 229839.309	  9398.0293	
 231088.435	 9389.94629	
 232337.562	 9373.47656	
 233586.689	 9376.35547	
 234835.815	 9362.08301	
 236084.942	 9362.79688	
 237334.069	 9352.19629	
 238583.195	 9339.47852	
 239832.322	 9331.12109	
 241081.449	 9323.00098	
 242330.576	  9318.1582	
